X,Y,stationtype,stationmmsi,stationname,objectid
-7885470.81,5197500.8298,NAIS,3660610,Cohasset,1
-8126270.415,5072240.3252,NAIS,3660608,Bethany,2
-8070987.9098,4989948.7108,NAIS,3660609,Shinnecock,3
-7735016.2451,5452513.8396,NAIS,3669168,Bristol,4
-7863535.8602,5349750.7635,NAIS,3660613,Ogunquit,5
-7616782.2173,5490492.5456,NAIS,3660614,Swans Island,6
-7829563.704,5425894.9612,NAIS,3660615,Westbrook,7
-8226424.5989,5192413.003,NAIS,3669169,Catskill,8
-8224333.5674,5076260.8332,NAIS,3660616,Putnam Valley,9
-8196237.8644,5279431.3665,NAIS,3660617,Troy,10
-7806709.1215,5049495.8257,NAIS,3660618,Miacomet,11
-7791622.2118,5129811.8187,NAIS,3660619,Orleans,12
-7961764.8688,5110901.7754,NAIS,3660620,Warwick,13
-8585691.9811,4686484.0214,NAIS,3660612,Alexandria,14
-8510845.2978,4718669.0789,NAIS,3660611,Greenbury Point,15
-8452452.0879,4802424.9205,NAIS,3669761,North East,16
-8500278.6126,4422617.2075,NAIS,3669764,C3CEN LAB TOP,17
-8500278.6126,4422617.2075,NAIS,3669765,C3CEN LAB TRANS,18
-8337694.0159,4861637.3285,NAIS,3669100,Burlington,19
-8336038.6879,4713756.9747,NAIS,3669101,Cape May,20
-8241381.2534,4882745.0343,NAIS,3669102,Manasquan,21
-8387292.9857,4826161.7398,NAIS,3669743,Swedesboro,22
-8277001.6062,4812598.1976,NAIS,3669744,Tuckerton,23
-8370857.3166,4625824.7749,NAIS,3669750,Berlin,24
-8391534.2482,4569733.9069,NAIS,3669748,Chincoteague,25
-8530783.8422,4563546.5743,NAIS,3669749,Farnham,26
-8441202.5691,4517111.5478,NAIS,3669745,Merrick,27
-8519900.7957,4461937.6935,NAIS,3669751,Newport News,28
-8461283.3821,4401566.7633,NAIS,3669752,Pungo,29
-8408413.056,4197297.8258,NAIS,3660622,Buxton,30
-8440711.8644,4319322.4371,NAIS,3660623,Mamie,31
-8621480.1811,4098582.13,NAIS,3660625,Sneads Ferry,32
-8684219.3056,4021942.0296,NAIS,3660626,Southport,33
-8506475.6481,4146716.5798,NAIS,3660624,Stacy,34
-9070859.4956,3693247.4854,NAIS,3660627,Carnigan,35
-8799940.2907,3975337.793,NAIS,3660628,Garden City,36
-8848817.5741,3907164.7076,NAIS,3660629,McClellanville,37
-9030407.2076,3755725.8874,NAIS,3669170,Montgomery,38
-8958447.4869,3818548.5036,NAIS,3660630,Port Royal,39
-9099329.7947,3610396.48,NAIS,3669171,Brunswick,40
-9079712.7319,3539127.5169,NAIS,3660631,Jacksonville,41
-9019476.5055,3284227.332,NAIS,3660632,Saint Cloud,42
-8957709.6346,2942212.2822,NAIS,3660633,Princeton,43
-9106581.0151,2820610.6462,NAIS,3660634,Truman Annex,44
-8957709.412,2942252.5025,NAIS,3669191,Biscayne Bay,45
